descricao,tipo,elemento,tensao_kv,classe,categorias,origens,subsistemas,categoria_principal,origem_principal,eng_gwh,usinas,meses,registros
Desligamento automático dos barramentos de 230kV e 69 kV da SE Morro do Chapéu II,outro,SE Morro do Chapéu II,230.0,outro,eletrica,local,NE,eletrica,local,0.0742,1,1,4
Controle de inequação: Conjunto Fotovoltaico Arinos 2 500 kV + Conjunto Fotovoltaico Draco < 1000 MW,Controle de inequação,,500.0,outro,eletrica,sistemica,SE,eletrica,sistemica,0.0733,1,1,5
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV ITABIRA 4 / ITABIRA 5 PARA CONTINGÊNCIA DUPLA DAS LT 500 KV ITABIRA 5 / VESPASIANO 2 E LT 500 KV ITABIRA 5 / NEVES 1 - MOP 402-R/2025,Controle de inequação,LT 230 kV Itabira 4 / Itabira 5,230.0,local,confiabilidade,sistemica,N,confiabilidade,sistemica,0.0727,1,1,6
Controle de fluxo de potência ativa na LT 230 kV Campo Formoso / Ourolândia II,outro,fluxo de potência ativa na LT 230 kV Campo Formoso / Ourolândia II,230.0,outro,eletrica,local,NE,eletrica,local,0.0717,3,1,3
Controle do fluxo de potência ativa na LT 230 kV Chapada III / Curral Novo do Piauí II,Controle do fluxo,Controle do fluxo de potência ativa na LT 230 kV Chapada III / Curral Novo do Piauí II,230.0,local,eletrica,local,NE,eletrica,local,0.0619,1,1,2
Atuação do esquema de subtensão da SE Ceará Mirim,Esquema,SE Ceará Mirim,,local,eletrica,local,NE,eletrica,local,0.0617,2,1,8
Controle do fluxo de potência ativa na LT 230 kV Chapada II / Picos,Controle do fluxo,Controle do fluxo de potência ativa na LT 230 kV Chapada II / Picos,230.0,local,eletrica,local/sistemica,NE,eletrica,local,0.0591,7,2,24
Controle de inequação: CONTROLE DE CARREGAMENTO DA LT 230 KV IRECÊ / MORRO DO CHAPÉU II – C1(S5),Controle de inequação,LT 230 kV Irecê / Morro do Chapéu II,230.0,local,eletrica,local,NE,eletrica,local,0.0529,1,1,3
Atendimento a recomendação,outro,,,outro,eletrica,sistemica,NE,eletrica,sistemica,0.0525,1,1,4
Controle de inequação:F(CMA-MLG M5+M6) < 238 MW,Controle de inequação,,,outro,eletrica,local,NE,eletrica,local,0.0481,1,1,3
"Desligamento da LT 500 kV Ceará Mirim II / Rio do Vento – C1, conforme carta Casa dos Ventos CDV2026/O&M03, de 30 de janeiro de 2026",outro,LT 500 kV Ceará Mirim II / Rio do Vento,500.0,outro,eletrica,local,NE,eletrica,local,0.0473,2,1,4
